"2024-08-14";"18:00:28";"WinControl (rev 1195) report file"
"Datetime";"Date";"Time";"Type";"No.";"1:F";"1:Fm'";"1:PAR";"1:Y (II)";"1:ETR";"1:Fo'";"1:NPQ";"1:Fo";"1:Fm";"1:Fv/Fm"
"";"";"";"D";"";"Device Nr: #1, JUNIOR-PAM-III (CFMG1129B) ";""
"2024-08-14 14:43:16.053";"2024-08-14";"14:43:16";"SLCS";"";"Light Curve start ";"bicarb_28ppt_30min_1"
"2024-08-14 14:43:16.053";"2024-08-14";"14:43:16";"REG1";"";"#1: alpha: 0.192, ETRm: 13.948, Ik: 72.482   ( beta: 0.005, ETRmPot: 15.793 )   (Platt et al. 1980) ";""
"2024-08-14 14:43:16.053";"2024-08-14";"14:43:16";"REG2";"";"#1: alpha: 0.153, ETRm: 13.260, Ik: 86.914   (Jassby and Platt 1976) ";""
"2024-08-14 14:43:17.449";"2024-08-14";"14:43:17";"FO";"1";"173";"432";"0";"0.600";"0.0";"-";"-";"173";"432";"0.600"
"2024-08-14 14:43:27.445";"2024-08-14";"14:43:27";"F";"2";"283";"402";"65";"0.296";"8.1";"168";"0.075";"173";"432";"0.600"
"2024-08-14 14:43:37.433";"2024-08-14";"14:43:37";"F";"3";"285";"392";"90";"0.273";"10.3";"166";"0.102";"173";"432";"0.600"
"2024-08-14 14:43:47.421";"2024-08-14";"14:43:47";"F";"4";"297";"385";"125";"0.229";"12.0";"165";"0.122";"173";"432";"0.600"
"2024-08-14 14:43:57.405";"2024-08-14";"14:43:57";"F";"5";"317";"382";"190";"0.170";"13.6";"164";"0.131";"173";"432";"0.600"
"2024-08-14 14:44:07.399";"2024-08-14";"14:44:07";"F";"6";"336";"381";"285";"0.118";"14.1";"164";"0.134";"173";"432";"0.600"
