wavelength,h139_1,h139_2,h139_3,u139_1,u139_2,u139_3,h140_1,h140_2,h140_3,u140_1,u140_2,u140_3,h137_1,h137_2,h137_3,u137_1,u137_2,u137_3,h138_1,h138_2,h138_3,u138_1,u138_2,u138_3,h143_1,h143_2,h143_3,u143_1,u143_2,u143_3,h144_1,h144_2,h144_3,u144_1,u144_2,u144_3,h141_1,h141_2,h141_3,u141_1,u141_2,u141_3,h142_1,h142_2,h142_3,u142_1,u142_2,u142_3,h147_1,h147_2,h147_3,u147_1,u147_2,u147_3,h148_1,h148_2,h148_3,u148_1,u148_2,u148_3,h145_1,h145_2,h145_3,u145_1,u145_2,u145_3,h146_1,h146_2,h146_3,u146_1,u146_2,u146_3,h127_1,h127_2,h127_3,u127_1,u127_2,u127_3,h128_1,h128_2,h128_3,u128_1,u128_2,u128_3,h125_1,h125_2,h125_3,u125_1,u125_2,u125_3,h126_1,h126_2,h126_3,u126_1,u126_2,u126_3,h131_1,h131_2,h131_3,u131_1,u131_2,u131_3,h132_1,h132_2,h132_3,u132_1,u132_2,u132_3,h129_1,h129_2,h129_3,u129_1,u129_2,u129_3,h130_1,h130_2,h130_3,u130_1,u130_2,u130_3,h135_1,h135_2,h135_3,u135_1,u135_2,u135_3,h136_1,h136_2,h136_3,u136_1,u136_2,u136_3,h133_1,h133_2,h133_3,u133_1,u133_2,u133_3,h134_1,h134_2,h134_3,u134_1,u134_2,u134_3
350.086,-4.18133,-1.0104,-4.99557,-0.88947,-7.58875,-5.29922,-6.60522,-2.45076,-2.87265,-5.94953,-4.89076,-6.4198,-5.53839,-3.51759,-2.75441,-5.33953,-4.02547,-4.50112,-3.95023,-3.77825,1.20925,-5.61094,-1.39199,-5.83936,-2.5045,-4.58979,-2.95327,-3.11182,-4.71609,-3.91799,-2.38626,-2.90221,-7.34958,-4.32107,-3.94486,-5.6835,-3.50953,-3.48803,-7.28509,-6.06777,-7.98914,-6.64015,-3.71376,-8.13425,-3.43428,-5.46583,-6.07046,-4.47424,-1.47798,-8.0402,-3.3053,-5.0305,-4.70534,-7.1346,-3.18975,-7.60756,-2.05036,-7.3254,-3.94486,-2.74366,-7.50275,-3.26768,-5.14336,-7.58875,-3.62239,-3.15212,-7.65324,-3.69763,-6.21288,-3.49609,-5.61632,-7.79029,-0.26872,-1.40811,-5.40671,-5.67006,-5.80442,-7.24747,-5.72112,-1.86494,-3.05538,-5.48196,-8.188,-7.7876,-5.56257,-4.51724,-8.23637,-5.47658,-6.62403,-5.24817,-2.94521,-0.47833,-3.01239,-7.23134,-6.15108,-6.7154,-9.44562,-3.02045,-2.44269,-6.75839,-6.94381,-4.8827,-3.53102,-7.44632,-4.11147,-3.21124,-5.07618,-1.5156,-8.73351,-6.29619,-0.70137,-3.13869,-7.18029,-1.6849,-3.39666,1.11251,-8.66901,-3.66807,-6.02746,-3.67345,-2.23847,-2.87265,-4.53336,-6.47086,-5.94953,-7.82522,-2.23309,-4.83433,-1.59084,-4.43931,-6.58103,-5.67006,-5.82592,-5.78293,-4.70803,-8.52659,-3.07957,-1.79776,-5.73993,-9.0291,-6.30156,-4.10609,-6.272,-4.9472
350.453,5.20996,2.15516,4.30291,1.87094,1.28519,4.73542,3.21791,0.79089,4.08047,0.22244,3.37115,-0.21008,-0.22985,4.19911,4.82193,-1.19374,5.66966,0.17053,2.21942,-1.1023,4.75025,0.57339,1.72512,0.64012,-1.2753,3.60841,1.79185,7.10314,0.80324,2.32817,1.32473,5.43733,1.62379,2.51106,1.67074,-0.12605,-0.06426,3.00042,2.51353,0.66731,1.66827,-3.53674,1.48785,0.2694,-0.58822,0.19278,0.62529,1.38158,-1.31979,-0.90952,1.78443,3.51944,1.3272,1.58424,2.20706,2.65194,1.51504,0.1038,4.28067,1.39146,-0.25704,1.7004,0.21255,1.32473,-1.74983,3.3489,0.94906,3.124,4.88372,2.91392,4.08789,4.61926,3.35138,0.44487,0.80077,3.64301,-4.15215,-1.6831,-0.75381,3.06962,1.46067,2.9065,0.77358,-0.6772,2.27874,-1.78196,0.33365,-0.80571,2.13292,-1.62379,3.38103,0.7464,-1.26789,2.56296,3.47742,0.70438,5.42992,2.28368,2.45916,3.23521,-0.4943,0.25457,1.1023,1.17891,2.26885,0.0519,2.13292,-0.20761,0.15323,-0.13593,6.98698,1.7004,2.92627,1.89071,1.66086,2.36771,1.99204,1.01579,1.37663,1.24812,1.69793,0.16559,1.99946,1.16656,-2.54566,1.54223,1.82151,2.039,3.95443,-1.19621,-0.04202,3.16848,4.17192,1.36428,2.5506,-0.7637,2.07113,-0.2694,-0.37567,1.14678,2.31087,-0.69202,-1.1023,1.5793
350.82,3.41523,-2.0113,-1.36161,0.64969,0.37836,-1.44376,1.36908,2.90743,-0.39081,1.81714,-1.46367,-1.60556,-0.2315,-0.27133,3.06425,0.43064,0.01494,-1.97894,3.6293,2.83275,1.67774,-1.97147,1.37904,-0.9484,0.22901,1.44376,1.32676,2.05611,0.809,-2.79292,-2.17061,3.36544,0.04232,1.2944,-0.58746,-0.24643,-1.10024,2.94227,1.25706,0.19416,0.08712,0.69947,1.1799,-1.40144,-1.03054,1.66779,-0.16678,-0.52025,0.10455,3.06674,-1.98641,-1.55328,-1.4114,-3.58201,0.70943,-0.03734,0.53021,1.33921,2.43945,2.11834,-2.2901,-0.47793,0.61235,-0.49785,-2.7979,-1.04797,0.63724,-1.35414,-1.21475,3.09412,1.48856,-1.12264,-1.16496,2.28014,-0.98574,-2.58382,-1.35414,-1.97396,1.59062,1.53835,-0.44059,-2.09096,-3.52227,-4.18689,-3.40029,3.50235,0.01742,-1.2496,0.95338,0.07717,1.05544,3.18124,4.21925,2.70082,-0.91853,-3.353,-2.0586,-0.84634,-0.11202,-2.11834,-1.37406,-0.3012,-0.76171,-1.04299,1.16994,3.55712,-0.52025,1.9416,-2.59378,-2.16812,2.53653,-2.90743,-3.46501,2.66099,-0.11948,-0.88119,0.69201,-2.20297,1.46616,-0.89364,-0.91853,3.15386,-3.00451,-0.33854,-2.00632,0.63724,-0.15682,-0.09708,0.11948,-4.59015,2.66597,0.48291,-0.8563,-1.45371,-2.09096,2.13825,1.60805,0.32609,-5.07804,-0.03983,-1.05792,0.81647,-1.66779,-0.59991
351.187,-2.67497,-4.0366,-0.66391,-1.49441,-4.61602,-0.00966,-2.26455,1.50648,0.35489,-0.78704,-4.81881,-1.40267,-1.03571,-1.5765,1.38818,-3.05883,-1.64651,0.20521,-0.96087,-2.815,1.04778,-1.79619,-3.83863,-3.1216,-4.68361,2.40458,-1.84206,-0.70978,1.09365,-3.8676,-2.60737,-3.72758,-2.31525,-0.90775,-1.80585,0.45629,-3.61652,-4.91055,-2.45045,-5.02644,-3.54651,-3.60928,2.30318,-0.31626,-3.12402,-3.55858,-2.40216,0.53837,-4.57256,-1.08158,-0.84498,1.15883,0.09898,-1.5427,0.64943,-1.9676,1.40267,-3.18196,-0.18348,3.71551,-6.1225,-3.43787,-3.15299,-2.60737,-2.0183,-0.24384,-4.21042,-0.34765,1.10089,-3.9521,-2.1873,-1.70686,-0.00966,-1.03329,-0.18348,-3.04676,-5.44651,-4.54117,-0.92948,-2.44803,-0.04104,-2.25972,-1.94829,-1.24092,0.02414,-0.96811,-1.3737,-1.86862,0.42249,-3.78793,0.5601,-1.7817,0.61563,0.07001,-1.08399,-4.83571,-1.84206,-1.16849,-4.89848,-3.94727,-2.45286,-2.069,-4.60153,-4.29492,-0.1014,1.82758,-3.05401,-0.93672,2.04244,-5.34753,1.64892,-0.77255,-1.93139,-0.81843,-0.88844,0.69047,-0.25591,-1.75032,-0.58666,-2.5277,-1.31576,-0.99708,-2.33456,-1.13952,0.56493,-4.1718,-0.42249,2.18488,0.11588,-0.12554,-5.71932,0.42973,0.8305,1.13952,2.41423,-2.8319,-0.91258,-1.38336,-4.69327,-2.89708,-2.37802,-5.46583,-2.35146,-4.13558
351.555,3.16512,2.71817,1.30664,-0.20751,2.75466,2.03407,0.15962,2.15265,4.23916,3.12407,0.04561,0.17103,2.6338,-0.43099,2.07739,-1.02844,1.91093,2.2735,4.89362,2.52206,4.60174,0.01824,3.8173,-0.57693,3.42052,-0.20979,3.95184,2.64976,1.14245,2.25754,1.98846,3.63031,2.81167,4.28705,2.96445,2.912,-1.2998,1.27243,2.46505,1.92917,-0.54044,3.52313,2.06599,2.72957,2.30315,-0.44239,1.63501,1.0558,4.43755,1.27699,2.77746,0.94862,3.70556,1.79007,-0.29873,-0.2896,2.09108,1.51871,0.70235,2.56083,1.62361,1.71482,3.66224,-2.06143,2.28947,3.30878,3.75801,4.99852,2.49926,0.79128,-0.5336,5.24708,4.07726,0.22803,2.74554,3.90851,1.71482,1.29296,3.0625,1.99302,4.01113,1.66009,-0.70919,2.69537,-0.63394,1.09229,1.14701,2.28491,1.3112,2.40576,3.92219,2.14809,-0.00228,0.46747,4.70435,0.61341,-0.09805,-0.04561,3.1446,2.54715,1.03984,2.20509,0.54272,-1.64869,5.0122,3.33159,-1.82656,2.10704,-0.25996,0.20295,2.83447,1.75131,2.95533,1.48907,0.32837,2.91428,1.2177,0.57237,0.61341,-1.29296,1.93145,4.71347,2.57451,1.25875,0.60657,-1.09457,2.33735,1.91777,1.38645,1.4503,1.3112,1.13561,1.51415,2.93709,0.23716,3.71012,2.56767,3.43648,-1.47766,1.53239,1.87672,2.1344,0.84373,-1.82656
351.922,3.18236,1.3088,0.74629,0.40564,-2.4921,-0.83369,-0.66785,-1.54187,4.45306,3.46474,2.91343,-1.66065,4.59649,1.51274,0.78663,3.07703,3.0972,2.95153,1.54636,2.90894,3.55438,1.27294,0.23756,3.9152,4.25808,3.523,1.12279,2.10215,0.36978,-2.62208,-0.26893,4.17741,0.21739,1.34466,1.12055,-3.77177,1.87804,4.26257,3.4625,3.15098,-0.92557,-1.09141,2.24558,2.79017,1.5105,2.5414,0.35185,1.43206,0.16584,3.5499,1.61807,3.44233,1.5979,1.97441,-0.40116,1.40069,0.11878,-0.44374,2.84171,2.94704,-1.34466,1.54187,2.45176,-1.16537,3.43336,2.46297,0.17929,0.35858,4.06983,0.7418,1.87804,2.18059,0.24204,2.23213,1.47912,1.90493,0.10757,0.69698,3.47594,3.93088,4.01381,4.10569,-0.98384,-1.65393,-0.0493,4.9461,1.16313,-1.26846,0.14119,1.03763,0.34065,0.96367,1.43206,2.43159,0.14119,-0.58044,3.23839,3.86365,1.7996,2.82602,1.38052,2.27471,2.97169,0.96143,0.69474,0.54907,-0.86282,1.9632,4.54943,2.56606,0.63423,1.32673,-0.64544,1.46344,-0.82472,-1.04435,3.49163,0.95695,1.85787,0.48632,1.36035,-0.38771,2.13577,1.48809,1.34914,1.68531,5.16573,1.70548,1.00401,2.53692,0.14119,1.58221,0.55579,4.10569,0.05379,-1.98337,4.38807,1.33345,-1.3088,1.68531,-0.70146,1.27294,-2.75655,2.97394
352.289,-0.99101,0.88719,1.31427,0.42708,-2.54831,-2.53887,-1.00517,-1.47236,2.83854,-1.52427,-2.85977,-4.57988,-1.91831,-1.7673,0.03539,0.67247,-0.66539,-0.36573,0.08022,1.51483,-0.37281,-2.3973,-1.78854,-1.01225,0.5191,1.67056,-4.02775,-2.27932,1.74843,-2.15663,-1.26472,-2.17078,-2.98011,-0.92494,1.63281,-3.40483,-0.21236,1.92067,-3.26325,-2.04337,-3.69269,-2.39494,-0.99573,-2.83854,-0.37281,-1.7791,-2.04573,-2.94708,-6.50763,-2.49168,0.60876,0.11326,0.70079,-2.79135,-0.72438,0.68191,-0.63,-0.6182,-2.06696,-1.1255,-3.56764,-4.68134,-2.36427,-3.45438,0.33034,-3.93809,-0.03775,3.47325,-1.86876,0.21472,0.5427,-1.93247,-2.23685,-3.12404,-2.5955,-1.16562,-1.28359,1.41337,-1.28595,0.66539,0.45067,0.20764,-2.39494,-3.62898,-1.75078,2.03629,-0.47427,-2.54359,-2.22977,-4.6837,0.05663,-2.45865,-3.17359,0.93674,-0.98393,-3.29157,0.50258,1.42517,-3.7682,-3.6691,-0.84944,-3.53224,-0.83528,-0.68663,-1.53371,0.61584,-2.49404,1.31191,-0.00472,-0.05427,0.81876,-2.26517,-2.56719,0.10618,0.6418,-0.72202,1.86404,-2.31472,0.4082,-2.28168,1.24348,-1.16326,-1.03584,-1.37798,-5.14853,-1.28359,-3.39539,-1.48887,-1.92539,-4.57752,-1.77674,-2.07168,0.09438,-2.05753,-6.39909,0.02596,-1.30719,-1.20101,-5.19101,-6.0782,-0.88955,-0.66067,-2.37371,0.33742
352.656,2.99405,1.03118,4.73305,2.72495,-1.75482,-0.98596,4.02976,4.41419,4.1677,2.37444,1.05832,0.09724,2.21388,2.9737,3.97775,1.11485,2.40157,4.31695,1.8498,2.79053,2.53726,1.03118,0.56534,-1.76613,2.45132,3.98905,8.65878,3.13426,0.84349,-0.43871,-0.16282,3.49155,1.63045,2.84028,3.95287,2.16413,1.64175,3.64985,5.44764,-1.23471,0.94751,1.21436,6.10117,3.14104,0.47489,-1.48798,1.47667,1.77065,3.71317,-0.21709,3.58653,1.8091,2.08272,1.26863,0.86158,-0.21483,5.83659,0.60152,2.36087,2.28624,3.67246,-0.94073,-0.42061,-0.37991,3.8986,4.5838,1.44728,0.54273,0.81409,3.71543,1.53321,0.8254,1.54678,4.53178,3.26542,2.75435,-0.36182,1.10129,2.13247,0.09498,1.40883,0.63318,0.78017,-0.0407,3.09808,2.09629,1.42692,0.96334,2.96465,0.75756,1.24828,3.07094,-0.29172,2.48977,1.80683,0.17413,1.92895,0.31659,-0.31885,-3.08225,2.8041,-2.29981,1.40657,4.58832,2.5463,2.29077,0.61283,2.92169,2.78148,1.35908,4.07725,1.26637,2.42419,3.75613,0.61509,4.5544,2.29303,-0.11985,1.44049,2.9149,2.92847,1.7797,1.17817,0.56082,-1.60557,1.99,2.17318,3.56618,3.22019,1.51059,3.00084,1.99453,2.58701,0.52464,0.95882,3.35361,3.45085,2.90134,0.41609,3.65437,2.25911,2.36991,1.08998,-0.7259
353.023,1.52853,-0.33967,-2.04474,0.26146,-0.58996,1.60004,-2.73973,-0.14302,-2.63917,-2.4805,0.68828,-0.86929,0.50727,-0.99444,-0.53856,-0.07821,-3.16879,-3.06376,1.61344,1.47042,1.07712,-2.84252,-3.48164,-1.53076,0.63465,1.90395,1.15533,1.095,-1.56205,-1.00561,-2.55648,-0.48269,-0.14079,-2.44922,-1.85032,-2.50955,-2.84699,-1.14863,-1.4816,-4.15205,-2.60341,-0.01564,-3.12409,-1.25813,-2.17658,-2.22128,-1.40115,-5.43699,0.30839,-1.4302,-0.92516,-2.93191,-2.98331,-3.8593,-1.32964,-1.07041,-2.02686,-0.51398,-0.13408,0.36425,-0.37543,-2.21681,0.72851,-5.48839,-0.97432,-2.15647,-2.10954,1.60897,-1.73412,-2.87157,-4.20568,-1.97323,-1.26036,-1.56428,1.33187,-1.10394,-1.25142,-5.20459,-3.75651,0.48716,-0.07374,1.16204,-1.33858,-1.47042,-5.73421,-0.03799,1.05254,-0.54973,-3.97104,-0.18101,1.37657,-1.93524,0.67711,-2.33078,-1.68272,-2.33078,-0.77544,-0.40224,-3.06822,-1.29388,1.23355,-1.34305,0.31733,-1.25813,0.90728,-2.24139,-3.3632,-0.22347,-0.79108,0.37766,-0.51174,0.53632,-3.36097,-1.65143,-2.07379,0.38884,-2.81124,-1.15533,-1.90172,-0.62348,-0.93186,-1.06595,-3.94869,-2.02016,-4.05372,-4.57664,2.93414,1.91513,-4.71966,0.74192,-5.18671,-2.3196,-3.05705,1.05477,-2.6995,-2.90733,-0.0581,1.68719,-2.34195,-1.68048,-4.41798,-4.37999,-3.64254,1.21343
353.39,-1.7786,-5.14226,-0.30181,-1.09434,-0.68195,0.80175,0.08755,-3.5019,-0.1774,-1.89379,-1.98134,-5.5777,-0.39857,-1.94678,-0.18661,1.09895,0.75107,-6.10759,0.77871,-1.58046,0.55754,-3.48347,0.24421,-0.02995,1.79703,0.59901,-0.43083,-4.511,-2.79,-1.25792,-1.01371,-4.95795,-1.87766,-1.86154,-3.41896,0.61974,-5.36805,0.95381,-5.80348,-2.40065,-1.76247,-1.96982,-2.18869,-3.65626,-1.39615,-3.58023,-4.24605,1.39846,-0.7142,-0.55293,-0.40088,-2.46976,-3.03882,-5.08467,-4.83585,-6.22739,-0.87317,-4.54786,0.04608,1.44453,-1.86154,-2.87524,-3.15632,-2.41447,-2.5527,-1.89149,-0.62666,-0.44235,-2.59878,-1.41228,-3.48808,-3.69312,0.61744,0.45156,-5.37265,-0.36401,-2.69093,-2.1956,-2.69324,-2.26241,-1.51365,-1.19802,-1.04827,-0.48382,0.20735,-1.73482,-1.56894,-4.76904,-0.37093,-3.7991,0.90312,0.32715,-3.06186,-3.54567,-3.43048,-5.02016,-0.83631,-1.22567,-0.21426,-3.28764,-4.40502,-2.34305,-1.29478,-3.47195,0.75107,-0.13593,-3.46734,-4.94874,-2.91671,-0.93768,0.79945,-4.46032,0.36862,-2.10805,-1.6588,0.14284,-2.75084,-3.32911,-3.6194,-1.89609,1.25101,-3.86361,-0.97454,-2.48819,-3.25769,-4.68149,-2.4306,2.60108,-0.51607,-5.35422,-1.25562,-2.94436,-1.67723,-0.64509,-3.2623,-5.79887,-0.46538,-4.78516,-6.98537,-1.87997,-3.70695,-3.52033,-1.94908,-1.80855
353.756,7.17615,3.18372,3.97753,6.37809,1.85575,0.40009,2.0558,7.38896,3.44549,3.05178,4.60533,4.41593,5.48852,6.40788,4.69684,4.93094,2.56656,2.49633,5.31614,4.29462,2.55805,1.7536,3.97114,3.41144,4.3159,5.4566,2.87088,3.18798,3.8924,1.97067,2.84322,3.86473,6.23337,2.02601,5.4566,4.24993,4.71174,3.6732,3.2199,2.41333,2.73043,3.96901,1.65571,6.12271,3.47741,6.05674,3.90943,3.36887,0.42989,4.18821,2.52399,3.0986,3.86686,3.78174,4.52234,4.05414,3.58595,3.49443,4.84369,4.22865,1.8898,3.4391,0.59163,2.33246,5.57577,2.98581,8.95529,5.82264,6.89523,6.49301,6.38022,5.40765,3.19224,6.51216,3.58382,5.69069,3.2348,4.64577,2.55166,3.25608,5.61621,4.8522,4.92243,5.06927,3.66469,2.96027,3.01134,3.63064,2.44951,2.51761,3.76258,2.03878,3.30077,2.68361,5.10545,3.02411,4.53936,5.78008,2.96878,4.35208,2.02601,1.41097,5.61408,1.76424,4.91604,4.47126,3.53913,2.71553,2.89004,1.58548,4.10947,3.0986,2.11113,2.85386,3.3029,6.43129,0.89808,3.29226,5.91841,2.8113,3.40292,3.68384,3.0837,5.97587,3.66469,2.48569,3.81579,4.61597,3.0305,2.34097,4.59469,3.68171,1.92385,4.44359,3.38803,-0.35115,2.73681,2.49207,1.51525,5.10758,0.2192,3.62638,3.40931,5.51406
354.123,0.41318,-1.5648,-3.13619,-4.2087,-3.70981,-1.13404,-0.1978,-1.05492,0.32307,0.44395,-0.62416,-2.71862,-0.90767,-2.7362,0.8769,-1.48348,-0.37362,0.11648,2.04391,-1.12085,0.70768,0.47471,1.42854,-0.5912,0.02637,-0.94064,1.6637,0.12747,-2.8373,-0.3912,-0.43955,-0.36922,-2.70544,0.22857,-4.70319,-3.06587,-0.37362,-0.67251,-0.99998,2.59775,-0.23956,0.61757,-3.07246,-1.69447,-2.84389,-3.83728,-1.06152,-2.53401,-3.70541,-0.80877,1.05932,-3.34059,1.10987,-0.10329,-1.41316,-2.98675,-0.41098,-1.87688,-3.40212,-3.05268,-1.14283,0.21098,-3.39773,-5.39768,0.20219,-3.17575,0.03516,-1.65271,-1.03734,-0.67911,0.61098,-1.51865,-0.32527,-0.76482,-0.51867,-1.61315,-0.42197,1.28129,-1.2681,-3.35377,0.80658,-2.02193,-2.86367,-0.95383,1.42854,1.65051,-1.567,-2.40434,-2.74499,-0.95163,-0.15824,-4.43507,0.10329,2.8417,-4.64385,-3.0307,-0.51647,-1.48568,-2.63071,-2.67906,-3.07686,-2.34061,-1.51645,-3.55816,-3.64388,-0.72746,-2.88565,-1.16921,-1.97358,-3.9186,2.345,-2.2505,-0.03516,-0.95602,-0.21098,-2.04391,-2.20215,-0.43296,-2.99554,0.30109,-1.30327,-4.14277,-2.26588,-3.11202,-2.22852,0.24615,-0.27911,4.87242,-1.51205,-3.13839,-0.8813,-0.55823,-0.86152,0.72086,-0.96701,-1.20657,3.14279,-2.91202,-5.60867,-0.80877,-2.51643,-1.63513,-1.26151,0.24395
354.49,-5.00387,-3.1706,-2.80527,-4.20458,-4.51677,-5.0393,-4.13152,-1.34618,-2.2606,-7.59438,-8.56415,-4.75811,-5.09465,-4.10273,-6.06,-4.6474,-6.18621,-5.51533,-4.24665,-3.96325,-2.26281,-4.8356,-3.27245,-4.84667,-4.40164,-2.08126,-6.96778,-4.61862,-1.15798,-3.9721,-6.60689,-3.3123,-1.48566,-3.27687,-5.05701,-3.1241,-2.53736,-2.48422,-8.90734,-5.53083,-2.50858,-6.00244,-5.68139,-4.57655,-6.30134,-8.40031,-3.93889,-5.20979,-4.37064,-6.7663,-3.53814,-3.96767,-4.08945,-4.81568,-4.93081,-4.28429,-2.61043,-6.28363,-3.92339,-2.65028,-2.95804,-4.71161,-4.62748,-4.90645,-1.24875,-6.60024,-3.96767,-3.22374,-4.90645,-3.27023,-6.50504,-6.20613,-4.15366,-0.98306,-4.3485,-5.38027,-4.21565,-6.99878,-1.27754,-5.53969,-0.85243,-4.37507,-5.78988,-5.17657,-5.0083,-5.10351,-3.9876,-3.73298,-7.47703,-5.59947,-2.71006,-3.29901,-3.68648,-5.49762,-2.12775,-3.97432,-3.63777,-7.02314,-6.19285,-1.56537,-3.1706,-2.42887,-4.29093,-5.28507,-3.67098,-3.92118,-6.52054,-2.87833,-8.75457,-5.2585,-4.36843,-5.77438,-5.31385,-4.71826,-4.81789,-0.42954,-4.16694,-4.86439,-6.56039,-7.20691,-2.90712,-2.96911,-3.02668,-3.41858,-4.40607,-3.89682,-3.29237,-1.71593,-4.32193,-9.07783,-4.18244,-3.25473,-5.04816,-0.93878,-6.89029,-6.21056,-7.49696,-4.63412,-7.27997,-5.34927,-5.86516,-7.38625,-6.08879,-4.32414
354.857,1.5025,1.39089,-0.41855,-3.42355,-2.5242,-1.21059,0.04722,-0.92726,0.04078,-1.04316,1.27927,-1.28142,0.86501,-0.06225,-0.13952,-2.17004,-2.49415,-0.47007,-0.57954,0.10732,0.34772,-3.79489,-1.11185,-1.98545,0.81564,4.61053,0.73193,1.08609,0.66325,-2.23658,1.04746,0.601,-0.513,-0.42929,0.38636,-1.92964,-0.63964,1.54114,-0.56451,-1.68709,-3.77128,0.84355,-2.27951,-2.03267,-0.57954,-1.54972,1.33293,1.37157,-3.24111,1.13331,-0.33914,-1.71714,0.77486,-3.26043,-1.27713,2.78392,-0.43573,-5.64511,-1.94896,-1.33293,-0.80706,-1.54543,-1.66992,-2.97066,-0.31767,3.2175,2.30097,-2.43834,-1.63129,-1.04102,0.59671,0.95516,0.91867,0.62676,-1.70856,-3.08657,-0.61817,0.25543,-4.98186,-1.11185,2.53923,-1.04746,-1.38874,-1.75578,0.22752,1.26854,-1.80515,-2.27951,-4.46672,-1.78798,2.31814,1.60982,-1.85666,-0.14381,-1.6506,-4.09324,0.07942,-2.06916,0.96804,-1.1741,-4.85952,-2.83543,1.57548,-0.17815,-1.63558,2.3117,-3.67683,1.05604,-3.40424,-2.59074,1.12258,-2.43834,-0.20606,0.7491,2.98783,0.88862,-1.60124,0.02361,-0.76198,-0.1524,3.70688,1.1741,-1.97257,-1.18483,-0.87145,1.4424,-2.36751,1.63343,-2.1636,-1.93179,-1.30718,-1.09468,0.05151,-1.94037,-5.30597,-4.71571,-0.36489,-2.80968,-0.87574,0.92726,-1.56475,-2.38683,-2.19365,-1.23849
355.223,-4.57436,-1.20425,-2.27145,-1.39073,-2.75001,-3.7835,-0.81332,0.61111,-1.61091,-1.3076,0.76389,-1.80862,-1.93444,-1.39522,-0.97284,-2.84662,-2.64666,-0.70772,0.47181,0.25613,0.22018,-2.71406,0.31005,-0.06516,-2.02206,2.02206,5.97857,-0.80433,-0.38419,-1.4424,-3.54086,3.5768,0.18199,-1.06046,-1.50082,0.42463,0.19322,0.35498,-0.26736,-3.49143,-4.41484,0.16401,-0.08538,-2.81067,-2.04453,0.0674,-0.43811,-0.00225,-1.70303,-0.86275,1.37051,0.03595,-1.38174,-0.0337,-0.76164,-3.269,-2.39727,-4.36316,-2.97468,2.77472,-0.62909,-2.30066,1.73897,-2.96569,-2.34559,-1.23346,-1.50981,-4.42158,-1.85131,-2.41974,-0.66953,-2.95446,0.45833,2.66912,-2.6871,-2.83538,-1.00654,-1.38624,-0.18199,0.31005,0.1056,-1.56373,-1.70527,-3.27574,-1.66708,0.24939,0.98632,0.05842,-1.6199,-5.21468,-1.92321,0.1393,0.42913,1.21548,-1.90748,-0.61785,1.19751,-3.8554,0.40217,-2.88256,-3.03759,-1.17055,-0.47181,-5.36296,-3.97672,0.19097,-3.77676,-2.2018,0.10335,-1.84906,-0.5864,0.10784,-4.96079,-1.91197,-1.07843,-1.29861,-0.2741,-1.62888,-1.80413,-1.84906,-2.3748,-1.8266,0.34375,-0.62909,-1.88277,-0.61111,-2.37031,-2.49612,-0.35948,-1.48285,-0.32578,0.57966,-1.13236,0.84477,-1.77942,-3.0668,-3.5094,-2.72529,-0.55719,-0.17974,-1.92545,-3.32517,-1.39747,-3.16565
355.59,2.2296,3.22331,1.19622,-0.08977,-2.52187,0.05845,3.61997,3.37362,4.91639,1.49057,3.94981,2.62834,0.5407,1.37575,2.7703,4.10221,2.01666,-1.22544,1.64088,1.40707,3.3444,1.98743,0.12108,3.5803,3.49888,3.51558,0.07724,3.49471,0.37786,-0.23799,-0.45093,0.08351,1.60539,3.35692,3.58239,0.59498,0.07933,2.6012,0.88725,1.56573,-1.02921,2.22334,-0.48016,-1.94359,1.8079,-0.23799,-1.00833,-0.30271,2.35903,2.33816,-2.80161,1.36949,2.02292,0.36951,-0.17327,1.37158,2.88303,-1.1816,-0.55949,1.74318,3.79115,0.23382,-0.15449,1.75362,2.12939,0.6242,0.53444,3.10641,2.58867,0.75781,4.98946,2.69932,1.52815,2.51352,0.27557,1.77449,1.90393,2.38617,3.40494,0.82253,4.2734,1.5198,1.35488,-2.14192,1.02294,1.63462,3.88927,0.48851,1.3674,-2.27344,5.36106,2.93522,1.13359,2.13148,1.03338,-0.67431,0.11064,2.263,0.5741,5.03747,0.91856,2.31937,0.43005,0.79539,2.35068,0.67848,3.57195,-1.17743,-0.57201,-1.05008,4.19824,-1.20248,1.97073,1.06261,1.4363,3.16904,2.6513,2.26091,0.29436,-1.41751,-0.2025,1.67637,3.59283,-3.35692,-2.11687,-0.26722,3.1753,5.22954,-1.33609,-1.27764,2.13565,3.91224,3.62414,1.68681,-1.35279,-0.8789,3.85378,3.11267,2.18785,1.26928,0.44884,0.75155,0.3048,-0.77034
